number,insert,sequence,plasmid,TAG,species,strain,"antibiotics resistance","methods of cloning",source,comments
70,"YFP-NES-2 (aa: 371-384) z HopQ1",HopQ1,pGWB442,N-eYFP,"Escherichia coli",DH5α,Sp,Gateway,PPR,
76,"YFP-NES-1 z HopQ1 (aa: 144-157)",HopQ1,pENTR-D/Topo,,"Escherichia coli",DH5α,Km,Gateway,PPR,
30,YFP,YFP,pGWB441-empty,,"Agrobacterium tumefaciens",GV3101,"Rf, Gn,Sp",Gateway,LPP,
141,YFP,YFP,,C-2xSTREP-FLAG,"Agrobacterium tumefaciens",GV3101,"Rf, Gn,Sp",Gateway,LPP,
189,"TTSS z HopQ1-Fiasko (PHYPADRAFT_168432) P. patens Y331/A",Physco,pGWB441,C-eYFP,"Agrobacterium tumefaciens",GV3101,"Rf, Gn,Sp",Gateway,LPP,
250,"TTSS z HopQ1-Fiasko (PHYPADRAFT_168432) P. patens Y331/A",Physco,pENTR-D/Topo,,"Escherichia coli",DH5α,Km,Gateway,PPR,
252,"TTSS z HopQ1-Fiasko (PHYPADRAFT_168432) P. patens Y331/A",Physco,pBBRMCS5-pTAC,,"Escherichia coli",DH5α,Gn10,"Restriction sites: BamHI, NdeI, XhoI",PPR,
190,"TTSS z HopQ1-Fiasko (PHYPADRAFT_168432) P. patens del. (48-57 w fiasku!!!)",Physco,pGWB441,C-eYFP,"Agrobacterium tumefaciens",GV3101,"Rf, Gn,Sp",Gateway,LPP,
251,"TTSS z HopQ1-Fiasko (PHYPADRAFT_168432) P. patens del. (48-57 w fiasku!!!)",Physco,pBBRMCS5-pTAC,,"Escherichia coli",DH5α,Gn10,"Restriction sites: BamHI, NdeI, XhoI",PPR,
213,"tonoplast-CFP marker",unknown,pBIN23,CFP,"Escherichia coli",DH5α,Km,"Gitta Coaker","from Gitta",
41,SlMai2,Mai2,pQ11,,"Agrobacterium tumefaciens",?,"Rf,Km",?,"Greg Martin",
47,"SIPKwt N. tabacum 17",SIPK,pET28a(+),C-6xHis,"Escherichia coli","BL-21 Rosetta","Km, Cm","Restrictions sites NcoI-XhoI",LPP,"brak ekspresji"
46,"SIPKwt N. tabacum 16",SIPK,pET28a(+),C-6xHis,"Escherichia coli","BL-21 Rosetta","Km, Cm","Restrictions sites NcoI-XhoI",LPP,"brak ekspresji"
22,"SIPK N. tabacum",SIPK,pGEX-2,N-GST,"Escherichia coli","BL-21 Rosetta","Ap, Cm",?,LPP,
94,SIPK-AF,SIPK,pGWB454,C-mRFP,"Agrobacterium tumefaciens",GV3101,"Rf, Gn,Sp",Gateway,LPP,
96,SIPK-AF,SIPK,pGWB444,C-eCFP,"Agrobacterium tumefaciens",GV3101,"Rf, Gn,Sp",Gateway,LPP,
98,SIPK-AF,SIPK,pGWB455,N-mRFP,"Agrobacterium tumefaciens",GV3101,"Rf, Gn,Sp",Gateway,LPP,
110,SIPK-AF,SIPK,pGWB445,N-CFP,"Agrobacterium tumefaciens",GV3101,"Rf, Gn,Sp",Gateway,LPP,
129,SIPK-AF,SIPK,pGWB442,N-eYFP,"Agrobacterium tumefaciens",GV3101,"Rf, Gn,Sp",Gateway,LPP,
155,SipK-AF,SIPK,pENTR-D/Topo,,"Escherichia coli",DH5α,Km,Gateway,PPR,
