"Fast Digest",Producer,"Nr kat.",Uwagi,Zapas,delivery,type
ApaI,Fermentas,FD1414,,"300 r.",,"Restriction enzyme FD"
"AscI (SgsI)",Fermentas,FD1894,,,,"Restriction enzyme FD"
BamHI,Fermentas,FD0054,,"700 µl, 800 µl",,"Restriction enzyme FD"
"BcuI (SpeI)",Fermentas,FD1254,,"50 µl",,"Restriction enzyme FD"
BglII,Fermentas,FD0084,,"200 µl",,"Restriction enzyme FD"
DpnI,Fermentas,FD1704,,"100 ul (2x)",,"Restriction enzyme FD"
"Eco32I (EcoRV)",Fermentas,FD0304,,"400 ul",,"Restriction enzyme FD"
"Eco47III (AfeI)",Fermentas,FD0324,,20µl,,"Restriction enzyme FD"
EcoRI,Fermentas,FD0274,,800µl,,"Restriction enzyme FD"
HincII,Fermentas,FD0494,,"100 µl",,"Restriction enzyme FD"
HindIII,Fermentas,FD0504,,"800 µl",,"Restriction enzyme FD"
KpnI,Fermentas,FD0524,,"300µl (3x)",,"Restriction enzyme FD"
"MfeI (MunI)",Fermentas,FD0754,,"50µl  (2x)",,"Restriction enzyme FD"
