seq,organism
YFP,unknown
unknown,unknown
SV40,unknown
SIPK,"Arabidopsis thaliana"
AtSGT1,"Arabidopsis thaliana"
NtSGT1,"Nicotiana tabacum"
sequencing,unknown
Roc1,unknown
ripB,unknown
RipB,unknown
RihA,"Arabidopsis thaliana"
RFP,unknown
R18,unknown
PVY,PVY
PsHopQ1,"Pseudomonas syringae"
Physco,unknown
Phusion,unknown
pGWB,unknown
MPK6,"Arabidopsis thaliana"
MKK4,unknown
MEK2,"Nicotiana tabacum"
mCherry,unknown
MAPKKKa,unknown
Mai2,unknown
HopQ1,unknown
HopAv1,unknown
GUS,unknown
GFP,unknown
EF1,"Solanum tuberosum"
Dendra2,unknown
Cyc-71,unknown
CPK3,unknown
CPK,unknown
CFP,unknown
AvrPto,unknown
AvrB,unknown
AureoQ,unknown
Amber,unknown
14-3-3c,unknown
14-3-3a,"Arabidopsis thaliana"
14-3-3,unknown
